etat_car,marque,annee,boite_vit,adresse_vente,prix,image_link
Occasion,Kia,2012,Automatique,"Liberte 6,Dakar",5450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6dd56982f8ee9e05aef2e4447e661d5e/-/horizon-files-prod/ed/picture/q9m9pwx7/e2b9272ebe0d8f1bc4c2777e38ccdcf5d96f366b.jpg
Occasion,Citroen,2020,Automatique,"Fenêtre mermoz,Dakar",16500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/24d50b37260df93c9fb17596acc2d9a4/-/horizon-files-prod/ed/picture/qq47m95v/a7de372cb1404e999e2115b9d9c10ea3fb4a9b1f.jpg
Venant,Mazda,2016,Automatique,"Liberte 6,Dakar",8200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8e7bc891a0765e68de2b35d9f3566a0b/-/horizon-files-prod/ed/picture/q6xkgz88/5c1995ef6d31e7f1e84e041dd101da720f93c137.jpg
Occasion,Jeep,2012,Automatique,"Liberte 6,Dakar",5300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1bed5d096136bb998f54c7a0a65ddba1/-/horizon-files-prod/ed/picture/qj4rn295/93e67c1a9be262f2bd4edd173970a648518fa480.jpg
Occasion,Peugeot,2004,Manuelle,"Ouest foire,Dakar",2700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/64b23306305acb838170aaf492d12e61/-/horizon-files-prod/ed/picture/qngx42km/c27611564624b193c76a4f43addd65d7ecb927f3.jpg
Occasion,BMW,2017,Automatique,"Djily mbaye,Dakar",11900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f96cfa85bc5378c52643b1cafab3a2c8/-/horizon-files-prod/ed/picture/qenq627d/3ca820a09ba58179921b6d868a7aff85f89f8f16.jpg
Venant,Mercedes-Benz,2015,Automatique,"Sicap Sacré-cœur,Dakar",17500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d8a2a1d12895c0aab3abca1a5ac8e181/-/horizon-files-prod/ed/picture/qwe24kj6/0cd7ea6ccde865dc97dac7708a4fd1f9c2480504.jpg
Venant,Hyundai,2016,Automatique,"Mermoz,Dakar",11200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ffe65676fc2b376fb8886f439145214a/-/horizon-files-prod/ed/picture/qwe2vn2g/51dd883799ea4f9a0a77013e4e52ff4cdc17cba0.jpg
Venant,Mitsubishi,2016,Automatique,"Mermoz,Dakar",8500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7529263dbae3269a2987efa1402382e4/-/horizon-files-prod/ed/picture/qpd699v0/0a4d8444f868953eb196962867931b75f13dc69e.jpg
Venant,Hyundai,2016,Automatique,"Mermoz,Dakar",9700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d024f9cb33552d92ab545a3f3c074ee2/-/horizon-files-prod/ed/picture/qkrgeddw/64ea0d518f1b9981e65f486ffa792dbab091e4d7.jpg
Venant,Ford,2016,Automatique,"VDN,Dakar",12500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c6c0a98376c819aa4735e55a17e35906/-/horizon-files-prod/ed/picture/qngxk4wx/63392f760ca264152c457e1c27478ce3fd117af9.jpg
new,Ford,2016,Automatique,"Parcelles Assainies,Dakar",4500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cc3a9fe1fd8fe8ed355fa9e85f8f4d97/-/horizon-files-prod/ed/picture/q56xmp40/df5242ada35a446d497ccf481c4ed92d562dc84c.jpg
Occasion,Ford,2015,Automatique,"Keur Massar,Dakar",5000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/18afc24ed284f51b2a68e8d3df4f331a/-/horizon-files-prod/ed/picture/qv4e2xwv/131add845a5cd7ea9edbd2235966b19263eaf004.jpg
Venant,Mazda,2016,Automatique,"Médina,Dakar",7500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/38abb412f10fbd9c5cdfb8c04a071247/-/horizon-files-prod/ed/picture/qxj25xpz/544a3c74497cb07d2336584087bfb174318f7a05.jpg
Venant,Hyundai,2017,Automatique,"Sicap Liberté,Dakar",10800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/991cb0f8f68ec46e134a6ad945a97c0e/-/horizon-files-prod/ed/picture/q6xke80j/a6d00960827eed702500a6908f928ee973efc300.jpg
