etat_moto,marque,annee,adresse_vente,prix,image_link
Occasion,Gilera,2024,"Mbao,Dakar",2800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c1b146ec8a384ff491e8a112e3b483c1/-/horizon-files-prod/ed/picture/q8v56690/3e00e31c5c499cf1a8d221949ed093b76b444c39.jpg
Neuf,Yamaha,2024,"Liberte 6 extension,Dakar",1700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/34d601ea3cf4fb0c5efa25c51b40a9cd/-/horizon-files-prod/ed/picture/qxj2vz4q/6dda0af60044a4d814b518ae0a1c9581de4deeff.jpg
Neuf,Honda,2020,"Almadies 2,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0a9043fbd2891dfb64a9a44aeabe6b67/-/horizon-files-prod/ed/picture/q2jqmmre/394e144330d7d9a08c8a34a0ecfde5676559f442.jpg
Réconditionné,TVS Motor,2023,"Djily mbaye,Dakar",850000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2339ef982f6c92930c51b4fa6445dc70/-/horizon-files-prod/ed/picture/q56xj0ne/06073151cf1d05c63bd8d45948cdc970b5f549ad.jpg
Venant,BMW,2022,"Dieuppeul,Dakar",5500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/247a2aafe8c6d5c2f1e30321fe264d10/-/horizon-files-prod/ed/picture/q9m97qxj/da1cb9742f932b362eef1df6c1dcac641c4d8a7a.jpg
Neuf,BMW,2023,"Fann Hock,Dakar",6000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9c00faa9a7915a472c073dc620907c01/-/horizon-files-prod/ed/picture/qzvdm9rn/c38b585479bdda65a2cfa2536df0efca26d02582.jpg
Neuf,Harley Davidson,2016,"Diamniadio,Dakar",5700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/53f961dde6dca58a2254240896c54f73/-/horizon-files-prod/ed/picture/q56xjkw5/23647d941a6ea76685daaaae8689f7d3b5e1705c.jpg
Neuf,Yamaha,2024,"Liberte 6 extension,Dakar",1050000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c8e9211a9a8ed378779857c858a91e25/-/horizon-files-prod/ed/picture/q785260z/0577fdb922955ef818011f0aabaf06bbd5791c75.jpg
Neuf,Triumph,2022,"Diamniadio,Dakar",5900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a8e996ffa9e242e53593269e0314f55f/-/horizon-files-prod/ed/picture/qxj2rmrn/d443641261951e87993a4fcedf4899569e513970.jpg
Occasion,Honda,2022,"Fenêtre mermoz,Dakar",4200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3e84f1298a5791ae1539ec2e11066b63/-/horizon-files-prod/ed/picture/qkrgjkxn/deb605ca56f167607f0990849c22ec99c8125e33.jpg
Venant,SYM,2010,"Mbao,Dakar",450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/42585696d92df2a717d8e6c7123fa169/-/horizon-files-prod/ed/picture/qv4e8v2x/7a3a3c31727f1ad20d22475d6cc03747e21b1357.jpg
Réconditionné,BMW,2021,"Fenêtre mermoz,Dakar",3000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5502ca7765f044b6cad0fee8549e1fba/-/horizon-files-prod/ed/picture/qxj2r9qv/83f953afca759f7911a016dba0c25f3fbcc9a292.jpg
Venant,Yamaha,2011,"Médina,Dakar",780000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/68d40716cf8383c689289416ae4a8d9c/-/horizon-files-prod/ed/picture/qenq4je4/bb828c43c694e9e4715ba76715aa63a42f17ae57.jpg
Neuf,Yamaha,2022,"Plateau,Dakar",4800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/51ab726d0f9fc00b5d56bec1c3e81b66/-/horizon-files-prod/ed/picture/q56xkqwe/3568746119b84eb7dc548340c614930e5e2ea48d.jpg
Venant,SYM,2016,"Guediawaye,Dakar",500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ed774a587e22b3e71ae0461851f75037/-/horizon-files-prod/ed/picture/qxj2rgjq/0885d482d926461c11fd75119392484e477e4ef3.jpg
Neuf,Zhongyu,2019,"Diamniadio,Dakar",2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/36ebecdbacc9389d8e569459723eda54/-/horizon-files-prod/ed/picture/qngxqn4z/5b1942e5bd440d3994e0938a7144904964b0ba81.jpg
Venant,Autre,2021,"Rufisque,Dakar",230000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2b4566a9dd1c4abac3e3c032906261c1/-/horizon-files-prod/ed/picture/qkrgejnm/85ae125b6d6dcf9340cb24a180c937b526b50c9d.jpg
Occasion,Honda,2019,"Fenêtre mermoz,Dakar",3700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/50314d74c3f026b82d06cfc804fa58ba/-/horizon-files-prod/ed/picture/q8v564mj/d822915ad7c4f33b9dfb1c4f50bef775b81fc8fa.jpg
Venant,BMW,2020,"Dieuppeul,Dakar",3500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c2d5ddc0d39cf0f83a11985494a1f446/-/horizon-files-prod/ed/picture/qzvdmpvg/dce3022f8b4827423c176a42fd82369cd5721aca.jpg
Venant,BMW,2021,"Dieuppeul,Dakar",2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6522734b002619cd663452c99103df7b/-/horizon-files-prod/ed/picture/q0gwv4pd/6cc51e61146b42d92b743384aa7775dbe613f447.jpg
Occasion,Shineray,2016,"Somone,Thiès",240000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c2c6e96f91a0da64eff1c8960a36c2ae/-/horizon-files-prod/ed/picture/qzvdmd0n/54f7f6596e86a307899e8410a8fd2964fe656a74.jpg
Neuf,SYM,2018,"Guediawaye,Dakar",400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bb345cff3760af7afca27a9c23bb3606/-/horizon-files-prod/ed/picture/qzvdx54d/85272e2ccd2a2625d5344fe3582ebaf5e87aa5b4.jpg
Neuf,Ducati,2022,"Plateau,Dakar",6500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9cb7f30e04d949f91befe196492e8044/-/horizon-files-prod/ed/picture/qgq9xgx4/48e01056f1cdc225aac6e2501b00273cc0883680.jpg
Neuf,KTM,2023,"Plateau,Dakar",5200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d638514af14a77f927bfbd3271393af4/-/horizon-files-prod/ed/picture/q56xj4j2/654d60612278865a708ac52c6558e4e69a1de60f.jpg
Occasion,Yamaha,2008,"Mamelles,Dakar",1800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/680eb11c8634b7413f2742cde554bb3b/-/horizon-files-prod/ed/picture/qwe2g595/e45efc4f544725eecd5b852cb1aabed27260adb7.jpg
Neuf,Autre,2023,"Cambérène,Dakar",1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bcbcb271b3180e5621fa1a5775ca0122/-/horizon-files-prod/ed/picture/qdekp8dw/3f786ada3a7d1dbcab882b1e0144d0fc43786780.jpg
Occasion,Autre,2023,"Yoff,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9405182c6f3a6a7886e3780e72454f86/-/horizon-files-prod/ed/picture/qwe27wjz/2eeb651b152c85d822f0066a7f28c73efb9d46a4.jpg
Occasion,Vespa,2020,"Sacré-cœur,Dakar",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b60ce9e24856f568a6209b1f40c87942/-/horizon-files-prod/ed/picture/qzvd9k78/5aed5c55f80a2962546a77a6371c55f6efc6793b.jpg
Occasion,Yamaha,2007,"Almadies,Dakar",800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9d3074165ba1e4addfdbc9aa53f1fbfa/-/horizon-files-prod/ed/picture/qzvd9wwg/33dfc0bab1f352991e9c45ce4ec41c90810f733e.jpg
Venant,Yamaha,2020,"Golf,Dakar",4200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c2e60d4d23b6796b627b00f9e520a3d7/-/horizon-files-prod/ed/picture/q56x0q2r/81f452c508015e3dc550c1c26bc5e4c00cc1ecb8.jpg
Venant,Kymco,2024,"Pikine,Dakar",490000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9ed64478afb5eabe0881880722cdf43c/-/horizon-files-prod/ed/picture/q56x02kx/0dabbf9ba9255214c64dc9d7bd0b4b2173296479.jpg
Occasion,BMW,2022,"Mermoz,Dakar",3500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b5dffe5e8e3f5830aede99aa956edc57/-/horizon-files-prod/ed/picture/qxj2vp8m/a8c35dd24e07413b0218fa86c243f2e183ee43ad.jpg
Venant,Piaggio,2017,"Rufisque,Dakar",600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/13de46ac29c08552eafa8e743590f3c0/-/horizon-files-prod/ed/picture/qq47ezqn/cbd8d804dfc335031a376de80eaf80d06c37122c.jpg
Neuf,Lifan,2024,"Castor,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4ee44d9d8f0b93940500350d6c9248d7/-/horizon-files-prod/ed/picture/qzvd95vn/145b4f105ed88eaa4bcd4b31a13c9f8fce7dc1df.jpg
Neuf,TVS Motor,2024,"Castor,Dakar",800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3e4d02f21bd12ddf374b31b6ad83fc13/-/horizon-files-prod/ed/picture/qenqejn4/3c0647a81cb1fdd7042dbd0e30400c1288c56a59.jpg
Venant,Piaggio,2015,"Plateau,Dakar",800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b985e582bd31972d26b2563d06c96753/-/horizon-files-prod/ed/picture/q785zmjz/ce0bc66ef27a7f582024b7dd1e798d05f81ae916.jpg
Neuf,Autre,2023,"Plateau,Dakar",650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d0a2784b939fa6b07a78c84a835820d7/-/horizon-files-prod/ed/picture/q785zgkm/3582757a9770d1824aead266fc3caa7927cb6fa0.jpg
Venant,BMW,2020,"VDN,Dakar",2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3c400144489c4cbc46e4d22456a24de1/-/horizon-files-prod/ed/picture/qrzve7pj/51dcf0a3ce40d95201738429988688e9cfbf9fe4.png
Neuf,Puch,2023,"Almadies,Dakar",500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/af50a8604da308752988036bb2f67bf8/-/horizon-files-prod/ed/picture/qv4e6w62/dd10fb413de4000baa246188018efcd41dfd4730.jpg
Occasion,Piaggio,2022,"Almadies,Dakar",2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c670b2afb6057c0a1ffd0d61771a3b24/-/horizon-files-prod/ed/picture/q2jqxrn6/b19e650457d5ae9d5b6a7f455786e00eae9017ab.jpg
Venant,Yamaha,2018,"Guediawaye,Dakar",500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e67023cd80eb799e487598bd5b6216d1/-/horizon-files-prod/ed/picture/q785402j/9bb2c6dcdbb42ca78891015b8e0e68608b4afdcc.jpg
Neuf,Yamaha,2019,"Guediawaye,Dakar",500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a6822595ad93306ca38052d5b1fb6324/-/horizon-files-prod/ed/picture/qgq97854/0cf76b408c4ed99640623dfdb7ba36f3d425fad1.jpg
Neuf,Kymco,2019,"Guediawaye,Dakar",500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/545ed19d4c2733e2aa429dfcf62804a9/-/horizon-files-prod/ed/picture/q6xk8ved/e4a50de291280f6d6c7fb2c42e07396b511a24a9.jpg
