details,etat,adresse_vente,prix,image_link
launch cr 319 mise à jour à vie gratuite,Neuf,"Yoff,Dakar",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cef559d01fdcd7298cf8a9be20ef5ba6/-/horizon-files-prod/ed/picture/qngd6vke/6e1d4c12c0b6ad40ab952be658a73964d650c916.jpg
Batterie de voiture 75ah neuve,Neuf,"Plateau,Dakar",38000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a6ebbf38841deb3d6a39831257b7fb3c/-/horizon-files-prod/ed/picture/qwe2rd45/c790443ef12d5555543e8b17346223cdd6390e41.jpg
Filtre à Air,Neuf,"Liberte 6,Dakar",17500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c57130cc69f32c6adb346e809fd6803/-/horizon-files-prod/ed/picture/qngx7j9g/85bdb74cfba3295c080a8e03a7eb84daecc87535.jpg
KINGBOLEN Ediag Plus,Neuf,"Guediawaye,Dakar",175000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f1fd33c3ceaf0d8750c75788b407bc5c/-/horizon-files-prod/ed/picture/qweeqd4m/4b29719cad96946c08c91421e4801956c128602c.jpg
OTOFIX Watch Smart Key,Neuf,"Guediawaye,Dakar",90000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3261b7e1fdfa8e0f43cca0e38226711a/-/horizon-files-prod/ed/picture/qenqr4nj/3dd056a0ff5ff910f6a9415fb3e6b33ffc94a410.jpg
"Aspirateur dépoussiérage/éclairage (Auto & Ordinateur, etc.)",Neuf,"Castor,Dakar",10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c604402b57da4b87dc59f88553dff62/-/horizon-files-prod/ed/picture/qkr5557j/c87435018d07a612dd52244461b5e066a8e11bdb.jpg
Nettoyeur électrique portable avec 2 batteries 48 V,Neuf,"Grand-Dakar,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3aaee00f6d912c648ae14ae1ff810236/-/horizon-files-prod/ed/picture/qzv4g0vd/1a914c0a91a018608e86f3bd7d3454659b1f5271.jpg
Rétrofléchissants lumineux pneumatiques,Neuf,"Keur Massar,Dakar",4500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/605e0c9206afc5fa1e0a721f0c2670ba/-/horizon-files-prod/ed/picture/qv44z0p5/68254a237e689cca97781a67b169eb0db512847b.jpg
Compresseur d'air portable pour gonfler les pneus,Neuf,"Castor,Dakar",12000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5f71ec07702ace7e9e41901fe44aefe0/-/horizon-files-prod/ed/picture/qenqqd8j/976370c97ac5d0fac4784b819f8d91dfbc1a7f78.jpg
"Bâche auto(couvre-voiture) suv,4×4",Neuf,"Liberte 6,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d3848b8e355e18b7d78cb3971f497c22/-/horizon-files-prod/ed/picture/qzvdpgnq/9610eba8bac11d9d4297fc781d35800fbb2f957e.jpg
Sac à bandoulière,Neuf,"Grand-Dakar,Dakar",10500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b92743d121a40d37972536e5ff700745/-/horizon-files-prod/ed/picture/qrzv8deq/50ce807fb94e48a6674416574ac57f4e572e03b6.jpg
Auto Radio Nissan Kicks,Neuf,"Hann maristes,Dakar",125000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/97538eada8b68523cdac3142e812fea2/-/horizon-files-prod/ed/picture/qpdw46kq/d651fc889574b512de2d9a7b03e5a8c24b8bd267.jpg
Aspirateur Multifonction 4 en 1 Pour Voiture,Neuf,"Hann Bel-Air,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7cae9186c174f15bb889cf83dd53250d/-/horizon-files-prod/ed/picture/q6xkkwjz/80409286eee1f7253721759bde351f7a0b562a17.jpg
Bache voiture imperméable et doublé en coton,Neuf,"Grand-Dakar,Dakar",19000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3c8fbf994f8707a8a00dfe37b10ffb40/-/horizon-files-prod/ed/picture/qpdpkjxj/635a1e447b63bfa24f18a5d906a925b8db180458.png
LED EXTERNAL LENS SPOT LIGHT / MINI FEUX DE CONDUITES,Neuf,"Hann maristes,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9345ae1e2dcfb7b1c381982947ee5464/-/horizon-files-prod/ed/picture/q44d20n9/b9c44881b3cac9e92e894190fd211bd7734a4a5e.jpg
ECRAN ANDROID,Neuf,"Hann maristes,Dakar",275000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/35629c2a9d4b30cbc8a49fce64f1cc81/-/horizon-files-prod/ed/picture/qj4j72ng/fb10466346ad63b2c32ea68ec815b8f48185905e.jpg
Chargeur de batterie auto 12V 6A impulsion Plomb-acide,Neuf,"Golf,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ecc6df3a374d0306c09f73b2b7e437f1/-/horizon-files-prod/ed/picture/qvjxkxm/19aee08cba55edd8e160476a1a36120d66c6ff6e.jpg
GPS,Neuf,"Ouakam,Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/de1c47b1062f16cbd3820c127e7d0e8f/-/horizon-files-prod/ed/picture/qgq9q858/8680c59a870ee8406296542dc14065c31314de13.jpg
Bache sur mesure,Neuf,"Pikine,Dakar",19000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/995b53de249dcb57b485d2fefd4d237a/-/horizon-files-prod/ed/picture/migrated/qgp08de/1c8e201e5a4c923487c2aab6a82f2ea4b283b28b.jpg
Delphi autocom 2020.23 nouvelle version,Neuf,"Yoff,Dakar",75000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0d4b220f40ee46c66c8ef8a4ad674a9a/-/horizon-files-prod/ed/picture/qjnm96z/4604df47321e775d3a02ce354d8dcd0564e87654.jpg
Housse Voiture De Luxe 5 places,Neuf,"Grand-Dakar,Dakar",50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ad90b49d4ecb9215500f90c1295d72bb/-/horizon-files-prod/ed/picture/qjv0n5r/e4a2da62631e76a0050d6f551d03f8cc168db03b.png
Revêtement de volant,Neuf,"Hann maristes,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0ca6cf8ad3a6e1213c4b89526abb3d93/-/horizon-files-prod/ed/picture/qngdnxmx/293da60d6e5217992bdfcfd574eedfc8978315f9.jpg
Gonfleur,Neuf,"Ouakam,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6597839931cf90a8eb06359ec7cb29c7/-/horizon-files-prod/ed/picture/qm5r8dkm/0c2c31280fc799a7a1f0b4f47a1eaf2a9ef3c504.jpg
Housse de voiture de luxe 5 places,Neuf,"Grand-Dakar,Dakar",50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dc0b4c2a0de68541953967b415892a51/-/horizon-files-prod/ed/picture/qzv2j2nx/b00abb176c37d13aa5fd7a5e73cc99b4c20997b5.png
Bâche(couvre-voiture pour suv ou 4×4),Neuf,"Sicap Liberté,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bb27e7d2f7e9b6b5a8b0e465dd932d07/-/horizon-files-prod/ed/picture/qngdez9z/c77bdf5fac6da84e04dedec6cc6c08b7233c065a.jpg
"Mini Vantilo pour véhicule, table de bureau, lit ,chambre...",Neuf,"Sicap Liberté,Dakar",9000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/feb4285ecd771628a16ad3234f5e0b05/-/horizon-files-prod/ed/picture/qv4p62pg/a2be11cc721099d0515ae0b9c03d35a3b2759333.jpg
machine de lavage portable rechargeable electrique,Neuf,"Plateau,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/90bcbcf278cb536c851c02867ae6f596/-/horizon-files-prod/ed/picture/q2jjvje8/02fd60e585fff2f014676ac50a79bb1c1b39c203.jpg
Housses de siège voiture,Neuf,"Grand-Dakar,Dakar",60000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d0019973034744df51913bc5c2538643/-/horizon-files-prod/ed/picture/qendmvp4/47e36a6fbcc6f2098cb3ddc59a64f86b0f25f0f4.png
Bache voiture berline,Neuf,"Grand-Dakar,Dakar",19000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ddc1befae7dee2ddc335b3b4b9caa5f9/-/horizon-files-prod/ed/picture/qder6850/b78d0c45f3d1fb1111ab03a90786d6604bbffc8d.jpg
AUTORADIO AVEC BLUETOOTH ET USB/SD,Neuf,"Mbour,Thiès",40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d379bf7124c47b519cc33f483250e9ef/-/horizon-files-prod/ed/picture/qq4d0zmz/710f0b95e0496ce4153ba8c09ac0102f1e8ba828.jpg
Housse de moto made in Sénégal,Neuf,"Pikine,Dakar",9900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4aad1b920d08b8fb42b431af4749812e/-/horizon-files-prod/ed/picture/q564nk45/9b96855ce70c56b1e52e827c42d7be31fe9afe36.jpg
Chargeur sans fil de voiture 15W support grill aération,Neuf,"Golf,Dakar",10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fb58fac497db339e32868c5e787ddbbf/-/horizon-files-prod/ed/picture/qngg0vpr/948f7d54f8ec2ec701df594d4a151d3bc23d310e.jpg
PLAQUETTES FREINS TOUTES MARQUES SCOOTERS,Neuf,"Plateau,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b6c09c5dcb3c0f38de5eb0cf81b44384/-/horizon-files-prod/ed/picture/qwee4k54/6f16a1da2cee9355f8f5ad78a0b039c62bc167a3.jpg
Lavage intérieur voiture,Neuf,"Guediawaye,Dakar",3000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/96df06219bbbe34ea6472ea7a5610417/-/horizon-files-prod/ed/picture/qq4dxg5j/a9a6adb75a844bd7a1826d14ee0cc461c15c2b09.jpg
Nettoyant F.A.P et Turbo pour moteur diesel.,Neuf,"Mbour,Thiès",60000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3eddcb272eacd4ee76711f702350281e/-/horizon-files-prod/ed/picture/qq4d85zz/0d333f9166049d6e0a818ad20cda5bb8e0e201d4.jpg
Autoradio Tactile Lecteur Vidéo,Neuf,"Hann maristes,Dakar",28000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/de78d9df11761a09aa3920dcb764d458/-/horizon-files-prod/ed/picture/q44429n9/7f19bddf63d8740de0e7356ce937586fd0786bc3.jpg
TURBO LED,Neuf,"Hann maristes,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/17f7f2fe5bd89b4ad95202cadab86f89/-/horizon-files-prod/ed/picture/q78789qj/a98783c926c4d60bb289fd6535719932c905eebb.jpg
Tuyau D’arrosage Extensible Magic Hose 22.5m et 30m,Neuf,"Grand-Dakar,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fd11666851bb23c7580ec6a4e5e3d092/-/horizon-files-prod/ed/picture/qxjjmgnn/da33f960361f12cd9d220e7c983a14ce52ed2b5b.jpg
Tapis pose pieds pour véhicule,Neuf,"Sicap Liberté,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c072141477d23df6ab5e5e42591d252a/-/horizon-files-prod/ed/picture/qj4jz97v/07e17333d7b9ad510c9e11536a89d24d3a8792d2.jpg
"Flasque moto , honda et Beverly",Neuf,"Plateau,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3444646d137276e853a8e2bb426d6ca5/-/horizon-files-prod/ed/picture/qrzqvgdq/1e1d85c9ab67080a2896df2ff5aa435365ead09f.jpg
Bâches pour véhicule,Neuf,"Sicap Liberté,Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/520f045e9f66c95c7a515abd17102098/-/horizon-files-prod/ed/picture/q9m8kj95/0c845a1b098dc52609de492b18ee34955e36c991.jpg
Housse interieur auto en cuir,Neuf,"Médina,Dakar",5,https://i.roamcdn.net/hz/ed/listing-thumb-224w/810dcf7f04d13839cb3efa2ee3926242/-/horizon-files-prod/ed/picture/q76407z/137dcfb3fac3f1e75f033c136c84339ce993aa19.jpg
AMORTISSEURS SCOOTERS,Neuf,"Plateau,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f37a7131aad604904cb90e6cf732da96/-/horizon-files-prod/ed/picture/qenn4wqj/28e5a1a63402f33f4fea67218c8c6fc2c042ddaf.jpg
Support mobile de voiture universel 360 °,Neuf,"Grand-Dakar,Dakar",6500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/247f7f448cce72dccf66960d51570744/-/horizon-files-prod/ed/picture/qqppndw/77d308de03f94bb41bfba30c5eb16d562d9ceb31.jpg
Radar de recul stationnement avec 4 capteurs sensor,Neuf,"Golf,Dakar",17000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b93f047ef6c7192ae5c6f50e81f329ee/-/horizon-files-prod/ed/picture/qx95nx4/86cdf244cb963b87562b09da01fe660d17c4fc40.jpg
Siru Kit carrosserie 2014-2018 mise à niveau,Neuf,"Ouakam,Dakar",3000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6940816e4f90eca60e08720af76cff02/-/horizon-files-prod/ed/picture/qvnn88x/4a6cf2d3fa39dc4078947b89226052c97ac4e82a.jpg
MaicTop Kit Body Upgrade Toyota Prado From 2014 to 2022,Neuf,"Ouakam,Dakar",4000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ebb6cfe3ac101c76655cd309da06c531/-/horizon-files-prod/ed/picture/qwqq44z/bf7d31267f2a3c57c2b55040f30f26fd5353d018.jpg
Bache Voiture 4x4,Neuf,"Grand-Dakar,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/053e592d89a276d3509ecbc47682bd9b/-/horizon-files-prod/ed/picture/qv5d22v/28826204bd1d65e03d64a8e57ae2117ba8f43ef4.png
"Plaquette, disque et mâchoire de frein",Neuf,"Médina,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e82a535695e8d7c6d4e12bbe54a29d26/-/horizon-files-prod/ed/picture/q9vwxm7/64e4c9880179b8323ad9370ff99cfb8e8aec1a8b.jpg
Filtres,Neuf,"Médina,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/320802bbbbf7dea895d2d60153fa6af7/-/horizon-files-prod/ed/picture/qeejnw2/34f702309970d53bd55c6e69fc8ca5817840eb5c.jpg
"Bâches auto(4×4,suv,berline)",Neuf,"Liberte 6,Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1956ad1dc3cabb79d60d803cbe8b820a/-/horizon-files-prod/ed/picture/qnggnx8x/056e83b79ce28deca35d75200e552e728b88304f.jpg
Clé démonte roue,Neuf,"Mbour,Thiès",13000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fd134007740094c3295722c5a5590a2a/-/horizon-files-prod/ed/picture/qennkpv2/6d942f031d0d9a73ce3bd6a25d921ba9a4ffa541.jpg
Chargeur sans fil de voiture 15W avec support,Neuf,"Patte d‘oie,Dakar",10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/518733315594e59a5c0b1fdd5ca0f7e4/-/horizon-files-prod/ed/picture/qrzzm9m9/d705463d325c963866fb01d67692a98dd3941889.jpg
Caméra de recul CCD HD universel / 4 LED,Neuf,"Parcelles Assainies,Dakar",10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/36973fd4919b13f8b889c806ed7dcb1c/-/horizon-files-prod/ed/picture/qg07ew8/3a6378b2a4167e165066822cb34e0d8d55a6f818.jpg
"Bâches auto(4×4,suv,berline)",Neuf,"Liberte 6,Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6c9ccf618a49f39146225e3ff7912633/-/horizon-files-prod/ed/picture/qpddq6rr/4d1c1cc279a874ab1be569b77c1544145733d0f7.jpg
autel im 508,Neuf,"Yoff,Dakar",700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/384766e0b3be02efe455ff06ee477c3e/-/horizon-files-prod/ed/picture/qwemrgxm/9a2c3575a1a39a3b7768ff2f345ce7888486dcbb.jpg
Housse intérieure pour véhicule en simili cuir,Neuf,"Liberte 6,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cc65d440857953e4db5ec519e9288edd/-/horizon-files-prod/ed/picture/q444m5ve/58545fac03bc62a20102b1b5710b24d27d98d43c.jpg
Pompe Electrique 2 EN 1 Gonfleur Dégonfleur - 3 Buses,Neuf,"Patte d‘oie,Dakar",10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/af7c142e67f51b18e9542d1c2fada09c/-/horizon-files-prod/ed/picture/qweenxr5/d4ea2ad7f17fba4d09d24d344f04b47a72cc3ba7.jpg
Aspirateur sans fil original,Neuf,"Plateau,Dakar",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bba1c1b164267226ed6dae83d837dbe9/-/horizon-files-prod/ed/picture/qpkm7mw/f8fec97e59071d268c52dd71cf682634ec605967.jpg
"arroseur de jardin, voiture flexible 15m",Neuf,"Grand-Dakar,Dakar",10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac0e6ef1d6c142bb1f76b47588bae64a/-/horizon-files-prod/ed/picture/qdzrznr/9a02b67ad2fed90d60c098e64721a0af601ca8c6.jpg
Jeu Coussin lombaire et Coussin Oreiller,Neuf,"Ouakam,Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/473dd841a68521c1adec6bb233d97eae/-/horizon-files-prod/ed/picture/qg22xe8/98f14772b0c5c2cbf497e0ce860875d3a7e62d6d.jpg
elm 327 nouvelles versions bluetooth,Neuf,"Yoff,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/93d9de73e5b62150b70392d34669025b/-/horizon-files-prod/ed/picture/q58p9er/48273b99899a43f13a0a6144949656a994ef6c39.jpg
Huile moto 4T 10W-40,Neuf,"Dieuppeul,Dakar",4000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2aaa685504142a3a522999da3177b4b6/-/horizon-files-prod/ed/picture/qrz2prk8/857b242511acad9ef44cf6e3f33cdee052dd951a.jpg
Tapis pose pieds pour véhicule,Neuf,"Liberte 6,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d3cbedafff0b2fb8ee94bc080881830/-/horizon-files-prod/ed/picture/qq4q028v/84a9cf89dd8898fb78f65e1c76c05a9705ec186a.jpg
"Bâches auto (couvre-voiture) pour suv,4×4,berline",Neuf,"Liberte 6,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d828f7404c0b280d135ea8757b5eed52/-/horizon-files-prod/ed/picture/qder8rjw/543132ad43b640a51d82b87b26f73fd7529d7e0e.jpg
Autoradio universel Tactile 7 Pouces Carplay,Neuf,"Parcelles Assainies,Dakar",60000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8d6d9c3fd4875397ff2814af813772db/-/horizon-files-prod/ed/picture/qxe7knj/029118a7a3fe582806b474c136b076c44faa2c7a.jpg
Housse de voiture de luxe 5 places,Neuf,"Grand-Dakar,Dakar",50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/00e12fc273ab5128bd73c6efd88d02b0/-/horizon-files-prod/ed/picture/qxjdq648/70bf3be91be3ef3c7d073343e07a2b7c61ebcaf3.png
Housse Voiture de luxe,Neuf,"Grand-Dakar,Dakar",50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b8d6511f593527d4347d239200f302df/-/horizon-files-prod/ed/picture/qd59v22/b7f581fd80760f649c1a2f609504b78082157994.png
Bache Voiture 4x4,Neuf,"Grand-Dakar,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4775adf889a14099765d520f5f4175ab/-/horizon-files-prod/ed/picture/qjnk5ed/f6c5014432e210d10357cfbcbaa2c57fdf504c65.png
Chargeur AC voiture 12V 1A cable micro USB,Neuf,"Patte d‘oie,Dakar",1000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/af70c92583bbee0e8bff8bee5a4685b9/-/horizon-files-prod/ed/picture/qqpe446/19b4a0d0b1c54672e96fd5fc82a2605e62f8b7e2.jpg
Transmetteur / modulateur Fm multifonction,Neuf,"Parcelles Assainies,Dakar",1000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1827cdcf97f9d1440fa5fddb6a951d09/-/horizon-files-prod/ed/picture/q4wv9mr/efd7a3d7b51d6178a419f48d23288ddbbe8400e7.jpg
Bâches auto,Neuf,"Liberte 6,Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8dfa9959c83e7d1cfdf54e60b7f3c5ef/-/horizon-files-prod/ed/picture/q9pqkv7/fc18cbf11f53d1e0d66b38ef978e82bebe227c28.jpg
Bâches suv;4×4,Neuf,"Liberte 6,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/87dd3af9724914cbb5999a8f5301cfd5/-/horizon-files-prod/ed/picture/qnrmzxv/04943fb28cfb9973dd77302f0f1e884b0b4b4cd3.jpg
Bâches auto(berline),Neuf,"Liberte 6,Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/67adc8c66dda40b0c96cb8c126b1a08c/-/horizon-files-prod/ed/picture/q7nem5m/1e512ce4cd8ace74a798a68711c5728da351f0da.jpg
Autoradio écran tactile 7 pouces multifonction universel,Neuf,"Patte d‘oie,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/baa3f90c0238b1c9a21aebe1b9eba432/-/horizon-files-prod/ed/picture/q6094r4/19f491fefb10d58eb08a501a1721f505ae41eac4.jpg
Chargeur AC voiture 12V câble USB 1 mètre,Neuf,"Golf,Dakar",1000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8bd009dfb02ec6c56133cab7be34e120/-/horizon-files-prod/ed/picture/qjvg4zr/c19fa8e717e67eaa7413ff31ae311a688b9c0661.jpg
Bache voiture,Neuf,"Grand-Dakar,Dakar",19000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6c5880a67d8a1259bc2fe3fadc661319/-/horizon-files-prod/ed/picture/q0re5dz/f32dcc680b99d5de0f3b46e5a5d8be7bd501fac9.png
Bache auto berline,Neuf,"Liberte 6,Dakar",19000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/af73a333dba8dfebe161eac565cc5c91/-/horizon-files-prod/ed/picture/q2p85wd/25e7c99c09795e60d63825c37daa59a03b3855a3.jpg
Bache auto 4×4 pvc doublé en coton,Neuf,"Liberte 6,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a2da5ad09a710b78c6f94f66b40a3d8b/-/horizon-files-prod/ed/picture/qwqnjkm/724ea9ce34a970be62277de8a8961fe1fd238a41.jpg
Chargeur sans fil auto,Neuf,"Grand-Dakar,Dakar",7000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fb55a27a16e12bfb6bec90ae0df0b83e/-/horizon-files-prod/ed/picture/qnqd980/8e355d413f858043d798b2c1f09cdebecff74d8e.jpg
Lecteur mp3 t10 voiture,Neuf,"Liberte 6,Dakar",10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aa8987d4494f17c25d44daccf2ba7e88/-/horizon-files-prod/ed/picture/q945mr8/04e219377f2a3c7594a5ec4568bf9fd4a4da865a.jpg
Bâches auto,Neuf,"Liberte 6,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/76e83f64e3c21a73da6b3ef0d245d104/-/horizon-files-prod/ed/picture/qwd7rxd/4cb817a20255bd3c9ac38654ea0bbaafaad6642c.jpg
Extracteurs et compresseurs amortisseurs,Neuf,"Mbour,Thiès",75000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/de5ac18080d65bb44da7842e8fd26af2/-/horizon-files-prod/ed/picture/qm2qgm2/938ebdfb6b71373f2d50ea73c80aa62f617406d4.jpg
Antivol bloque volant pour voiture,Neuf,"Mbour,Thiès",40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8f15ddb5265c8cb371cc72f592c1435d/-/horizon-files-prod/ed/picture/qjeen2d/257838dd3000cf52fa938555ee7422439fafce26.jpg
Démarreurs,Neuf,"Mbour,Thiès",190000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3aba46b147f21816077a2ae400cba8d6/-/horizon-files-prod/ed/picture/qv65r4v/69783d9aeabd72c8e32cc31f94ce94fecf604f4e.jpg
Kit de freins tambours Bosch,Neuf,"Mbour,Thiès",75000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b52afdc59d48943e981c7f9ab699ae2c/-/horizon-files-prod/ed/picture/q69mgvv/a41233254b55a7a7801db95b14db92d21290de6e.jpg
Outil d'activation du capteur de pneus TPMS,Neuf,"Mbour,Thiès",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fda9da38b83f825c81f0de8d1c3f3cf6/-/horizon-files-prod/ed/picture/qmevgrd/28eb7c0cc300041b2de0de16f0ebea2cf5025d2e.jpg
Convertisseur Allume Cigare 12V vers prise secteur 220V,Neuf,"Hann Bel-Air,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/686786e2f8170e0f6438169f57507206/-/horizon-files-prod/ed/picture/qdpdekw/17c249ca8bcc07ce724a19d5b8293ecccf348187.jpg
"ECRAN DELL 19""TOUT NEUF",Neuf,"Colobane,Dakar",75000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/164a663122866cbbf4539ed6b68e6d04/-/horizon-files-prod/ed/picture/q2vg20g/1581a2946828d4aef3f60ec7c59e4c9c6972df4b.jpg
Aspirateur Multifonction 4 en 1 Pour Voiture,Neuf,"Hann Bel-Air,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2b7a0866a9239ca6720ac918a30e56f7/-/horizon-files-prod/ed/picture/q496j9e/76139ac1f898f1e00a5baf4a21fd10e52514d04d.jpg
Gonfleur de pneu 12 V pour voiture,Neuf,"Mbour,Thiès",23000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/89363de413832d962afb82d5b9410e23/-/horizon-files-prod/ed/picture/q49r97z/00975708eef85db499038be351f7eb350dc31d49.jpg
Aspirateur Multifonction 4 en 1,Neuf,"Hann Bel-Air,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6fe55b258f9856d3b4bd7000a55480f/-/horizon-files-prod/ed/picture/q68jrdj/46ffe3ae2324a86033bac598addd3c9398af2502.jpg
Aspirateur Multifonction 4 en 1 Pour Voiture,Neuf,"Hann Bel-Air,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/79a4a85facbd295ceab12604e04fcd44/-/horizon-files-prod/ed/picture/qezkpvz/afdd4e60772471e3ccf59eca9825fd7ba9663aa8.jpg
