etat,marque,année,boite vitesse,adresse,prix(FCFA),image_lien
Neuf,Peugeot,2009,Manuelle,"Ouest foire,Dakar",4000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f53fd2ac4dcc1ba5360f6911898ea6a9/-/horizon-files-prod/ed/picture/qenn0n64/4c22a35edb073c4cbf2353597d411a1de686aedb.jpg
Venant,Citroen,2016,Manuelle,"Guediawaye,Dakar",7500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4609a7dad07d23468b06654b4f9ea32f/-/horizon-files-prod/ed/picture/qv44675w/460fadf52bc9880d89717704cb303cb0da29b7c3.jpg
Occasion,Ford,2013,Automatique,"Fenêtre mermoz,Dakar",4400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0a008aba5e5bdc9159345fcf05e341de/-/horizon-files-prod/ed/picture/q2jjxnej/0e0f497d80f8dfac18faf3dc465b289d4488c2d7.jpg
Venant,Hyundai,2019,Automatique,"VDN,Dakar",29000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f5b6e7f9c80a40408981d099dd33f779/-/horizon-files-prod/ed/picture/q0gw47mw/0de678438adf779af45cb92dff41998139398026.jpg
Venant,GMC,2020,Automatique,"Liberte 6,Dakar",17500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b273b676eeb7fd401e18beafe1cb5272/-/horizon-files-prod/ed/picture/qweev40k/d2d0a26ea0a4014567866aa5a1ee4459f93240c9.jpg
Venant,Hyundai,2014,Automatique,"Ouest foire,Dakar",7000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a73f13211d731c2fe90e3a7050e2b1f2/-/horizon-files-prod/ed/picture/qnggqzk9/9eaeed3974660d2b69f6eeb7fd0ea1303ce1a676.jpg
Venant,Kia,2014,Automatique,"Ouest foire,Dakar",8500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3101a8094df5eb2d71a7211ae3e24d2d/-/horizon-files-prod/ed/picture/q6xxjm87/feec94963790c4cc44588d70bca00b3c8b4ead3f.jpg
Venant,Mitsubishi,2018,Automatique,"Sacré-cœur,Dakar",11800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9d5d2f907cd85930c80cf20a6a94d6d2/-/horizon-files-prod/ed/picture/qrzzx2n5/5628c31180ce7e283562b879872d2ab0c0960bc7.jpg
Occasion,Citroen,2010,Manuelle,"Plateau,Dakar",1600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/960713f0ee25b8af2f1e836bb54022d8/-/horizon-files-prod/ed/picture/qrzzj6g5/4395b37b565470b5c6cba8eae0e236be30810923.jpg
Occasion,Ford,2013,Automatique,"Golf,Dakar",4750000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/04db35694ddea541b4f3e1253215683d/-/horizon-files-prod/ed/picture/q8vvee9z/7702a970ba09a4f0c6523972b5e378787f79c702.jpg
Occasion,Hyundai,2012,Automatique,"Sicap mbao,Dakar",3700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/30f97735ec48e417c34221c5eee45652/-/horizon-files-prod/ed/picture/qg2xp8r/9a13939a4e9f56b69ef3cdc80feac46f39829c01.jpg
Venant,Renault,2015,Automatique,"Sicap Liberté,Dakar",6300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/823c72a9581feed71d033c46da2a0aae/-/horizon-files-prod/ed/picture/qzvv9nqv/f0bf670dba35e674fe511f83b2bda1249905844b.jpg
Occasion,Toyota,2007,Manuelle,"Sacré-cœur,Dakar",3000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3a3987d73f95cd9d54057f967f09e258/-/horizon-files-prod/ed/picture/qpddk6z4/2d496d69a02318ca79f7f89792c38c24f8406026.jpg
Venant,Jeep,2014,Automatique,"Amitié,Dakar",14500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ac883e07f0dba3cbf1686cbe5cb9474a/-/horizon-files-prod/ed/picture/qj4424dv/cb78746c5d482e39c7e96bf41797e0de1e44baf8.jpg
Occasion,Ford,2012,Automatique,"Yoff,Dakar",2650000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b66b4e88d7ff0509a6233ab7c1db46de/-/horizon-files-prod/ed/picture/qrzvmmn9/9d37f29b595a8aa07ef6d60d813e89610dc6584c.jpg
Venant,Ford,2019,Automatique,"Liberte 6 extension,Dakar",16500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b0f9945cdb66e3c8ab4c5e346147949e/-/horizon-files-prod/ed/picture/qq4450g7/1eafed46b467078820e56c66f071d4a19929c96d.jpg
Venant,BMW,2018,Automatique,"Liberte 6 extension,Dakar",16500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/581e02ef54b4f83ec2cb9ce45287f9eb/-/horizon-files-prod/ed/picture/qwezmpg6/8d8041aa2b86b6b39f11641233d8d3f84e978942.jpg
Venant,Mitsubishi,2015,Automatique,"Mermoz,Dakar",16800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/153675ec5b9405c547a8389b76777796/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qj44454d/bbdedb12eded0ee9a7e64f802d14b35f4a6ef932.jpg
Occasion,Volkswagen,2012,Automatique,"Golf,Dakar",3450000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ca6b1fa0f0c65d929ab07ad7765b3f95/-eyJvciI6MjcwfQ%3D%3D/horizon-files-prod/ed/picture/q2jj4gwq/504323201603588be321dde0b23e476c1cd1e8b6.jpg
Neuf,Hyundai,2017,Automatique,"Sud foire,Dakar",13500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/98a6e3af448ae7d109843ddc8a8b5d53/-/horizon-files-prod/ed/picture/qzvvgdng/5c173c2b363092e69905abbc5d15a8927df06ffe.jpg
Venant,Mitsubishi,2015,Automatique,"Sacré-cœur,Dakar",8700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7700e999e70cff459a9ec7188fd75d12/-/horizon-files-prod/ed/picture/qv44dnvp/81151824faad87fefc57429fd1238ab2efb75671.jpg
Venant,Hyundai,2020,Automatique,"Sacré-cœur,Dakar",35000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b08150358481df526030bac2b2fbf5b6/-/horizon-files-prod/ed/picture/q8v0w20x/0a4a286e13e71ecc8714bfc363872b74dc9351d8.jpg
